Results from heasarc_fermigtrig: Fermi GBM Trigger Catalog
Coordinate system: Equatorial
|trigger_name|name          |ra        |dec      |time                   |end_time               |trigger_time           |trigger_type|reliability|
|bn240513613 |LOCLPAR2405136|00 19 24.0|-56 40 00|2024-05-13 14:40:10.018|2024-05-13 14:45:37.704|2024-05-13 14:42:25.189|LOCLPAR     |     1.0000|
|bn240511311 |LOCLPAR2405113|00 10 28.0|-55 45 00|2024-05-11 07:25:49.546|2024-05-11 07:35:14.805|2024-05-11 07:27:18.636|LOCLPAR     |     1.0000|
|bn240922344 |LOCLPAR2409223|06 36 00.0|-55 40 00|2024-09-22 08:14:38.718|2024-09-22 08:23:14.824|2024-09-22 08:15:17.631|LOCLPAR     |     1.0000|
|bn240801407 |UNCERT24080140|11 56 19.2|-55 31 48|2024-08-01 09:44:00.877|2024-08-01 09:54:15.290|2024-08-01 09:46:18.864|UNCERT      |     1.0000|
|bn240930165 |LOCLPAR2409301|16 02 43.9|-55 12 00|2024-09-30 03:56:52.228|2024-09-30 04:05:44.716|2024-09-30 03:57:45.476|LOCLPAR     |     1.0000|
|bn240205926 |GRB240205926  |23 27 02.4|-55 07 55|2024-02-05 22:10:53.767|2024-02-05 22:21:08.177|2024-02-05 22:13:08.169|GRB         |     1.0000|
|bn240812653 |UNCERT24081265|05 53 56.0|-54 49 00|2024-08-12 15:38:10.605|2024-08-12 15:48:25.016|2024-08-12 15:40:26.671|UNCERT      |     1.0000|
|bn241212790 |UNCERT24121279|04 47 08.0|-54 31 00|2024-12-12 18:55:43.507|2024-12-12 19:05:57.917|2024-12-12 18:57:57.909|UNCERT      |     1.0000|
|bn240512624 |LOCLPAR2405126|00 33 12.0|-54 30 00|2024-05-12 14:56:20.845|2024-05-12 14:59:37.456|2024-05-12 14:58:36.015|LOCLPAR     |     1.0000|
|bn240421624 |UNCERT24042162|16 41 12.0|-54 29 24|2024-04-21 14:55:46.035|2024-04-21 15:06:00.446|2024-04-21 14:58:02.869|UNCERT      |     1.0000|
|bn240628601 |UNCERT24062860|04 20 16.0|-54 29 00|2024-06-28 14:22:57.871|2024-06-28 14:26:22.675|2024-06-28 14:25:08.946|UNCERT      |     1.0000|
|bn241011869 |LOCLPAR2410118|19 45 40.1|-54 24 00|2024-10-11 20:48:38.717|2024-10-11 20:58:53.131|2024-10-11 20:50:53.888|LOCLPAR     |     1.0000|
|bn240510985 |LOCLPAR2405109|19 33 38.4|-53 47 24|2024-05-10 23:35:47.079|2024-05-10 23:46:05.566|2024-05-10 23:38:04.276|LOCLPAR     |     1.0000|
|bn240805085 |GRB240805085  |12 43 39.6|-53 35 43|2024-08-05 02:00:05.651|2024-08-05 02:10:20.063|2024-08-05 02:02:20.309|GRB         |     1.0000|
|bn240716670 |TGF240716670  |02 36 08.0|-52 58 00|2024-07-16 16:02:24.495|2024-07-16 16:12:38.905|2024-07-16 16:04:40.481|TGF         |     1.0000|
|bn240812587 |LOCLPAR2408125|04 52 16.0|-52 56 00|2024-08-12 14:02:42.453|2024-08-12 14:08:42.907|2024-08-12 14:04:55.575|LOCLPAR     |     1.0000|
|bn240811269 |LOCLPAR2408112|04 44 12.0|-52 37 00|2024-08-11 06:24:50.180|2024-08-11 06:34:56.400|2024-08-11 06:27:01.255|LOCLPAR     |     1.0000|
|bn240928199 |LOCLPAR2409281|05 53 32.0|-52 34 00|2024-09-28 04:44:21.055|2024-09-28 04:54:35.465|2024-09-28 04:46:36.225|LOCLPAR     |     1.0000|
|bn240629589 |LOCLPAR2406295|04 06 36.0|-51 34 00|2024-06-29 14:05:27.534|2024-06-29 14:08:05.233|2024-06-29 14:07:42.704|LOCLPAR     |     1.0000|
|bn240810372 |UNRELOC2408103|15 11 48.0|-51 32 00|2024-08-10 08:52:51.164|2024-08-10 09:03:05.577|2024-08-10 08:55:06.975|UNCERT      |     1.0000|
|bn240826573 |TGF240826573  |10 25 38.4|-51 03 00|2024-08-26 13:42:35.928|2024-08-26 13:52:50.339|2024-08-26 13:44:54.219|TGF         |     1.0000|
|bn240804425 |LOCLPAR2408044|04 25 09.6|-50 00 36|2024-08-04 10:11:43.383|2024-08-04 10:20:03.106|2024-08-04 10:12:05.912|LOCLPAR     |     1.0000|
|bn241105671 |GRB241105671  |04 24 57.1|-49 45 17|2024-11-05 16:03:53.200|2024-11-05 16:13:59.419|2024-11-05 16:06:04.658|GRB         |     1.0000|
|bn240417782 |GRB240417782  |02 02 57.6|-49 40 48|2024-04-17 18:43:53.813|2024-04-17 18:54:08.222|2024-04-17 18:46:10.647|GRB         |     0.9725|
|bn240513086 |DISTPAR2405130|10 27 55.9|-49 24 00|2024-05-13 02:01:59.390|2024-05-13 02:12:05.610|2024-05-13 02:04:10.464|DISTPAR     |     1.0000|
